ID,Mass,Bfld,Type
236766,10298508000.0,2.7486954,Pre-Infall
236769,5224267000.0,3.1967852,Pre-Infall
236770,14261719000.0,8.387413,Pre-Infall
236773,1218985200.0,10.981,Pre-Infall
237947,17635762000.0,8.727002,Pre-Infall
237951,2743387000.0,3.162777,Pre-Infall
237953,10101665000.0,21.841873,Pre-Infall
237991,1310875400.0,11.2648735,Pre-Infall
237999,1108864100.0,26.14691,Pre-Infall
239246,153898010000.0,1.0558281,Pre-Infall
239247,9653562000.0,6.8866754,Pre-Infall
239251,6246770000.0,3.2065887,Pre-Infall
239997,16826494000.0,11.921983,Pre-Infall
239998,10008596000.0,6.2800555,Pre-Infall
240000,12417280000.0,4.949517,Pre-Infall
240001,5920578600.0,11.38689,Pre-Infall
240003,19716510000.0,2.9881275,Pre-Infall
240004,7960780000.0,3.8693278,Pre-Infall
240005,3661117400.0,4.7821507,Pre-Infall
240006,7822291500.0,1.8435324,Pre-Infall
240008,1679754400.0,4.144567,Pre-Infall
241154,86692670000.0,2.3931825,Pre-Infall
241156,18063817000.0,22.638119,Pre-Infall
241157,7661767700.0,5.9197545,Pre-Infall
241159,10509142000.0,10.065786,Pre-Infall
241160,8619724000.0,7.1152253,Pre-Infall
241161,3611979800.0,8.867625,Pre-Infall
241165,1457160200.0,3.278509,Pre-Infall
241167,1082465700.0,3.4469883,Pre-Infall
242216,64994620000.0,0.5331564,Pre-Infall
242217,62370947000.0,10.043301,Pre-Infall
242218,11263059000.0,2.406302,Pre-Infall
242219,9686230000.0,4.6408267,Pre-Infall
242220,9417775000.0,6.9399753,Pre-Infall
242223,6521200600.0,6.829402,Pre-Infall
242224,2606550500.0,2.952332,Pre-Infall
242228,3463605200.0,2.954176,Pre-Infall
242229,2145859000.0,1.8675786,Pre-Infall
242230,1707163300.0,5.594227,Pre-Infall
242235,1018563900.0,3.2386742,Pre-Infall
242236,1521773000.0,21.956415,Pre-Infall
243191,13230506000.0,4.6598887,Pre-Infall
243192,34174136000.0,11.762359,Pre-Infall
243193,30440049000.0,15.438124,Pre-Infall
243195,2256457700.0,6.831755,Pre-Infall
243196,2293050400.0,6.352739,Pre-Infall
243197,5330552000.0,2.8107696,Pre-Infall
244322,17380264000.0,5.3949213,Pre-Infall
244324,18793249000.0,7.058565,Pre-Infall
244325,1370130600.0,3.4640548,Pre-Infall
244328,2824008000.0,2.3820302,Pre-Infall
244329,3844045300.0,5.9054475,Pre-Infall
244330,4325399000.0,4.09994,Pre-Infall
245139,19781294000.0,11.437307,Pre-Infall
245140,23808270000.0,6.24455,Pre-Infall
245143,13225445000.0,2.9688084,Pre-Infall
245144,2514256000.0,2.5995448,Pre-Infall
245145,7555411000.0,3.5859172,Pre-Infall
246234,46001836000.0,7.9006877,Pre-Infall
246235,104589780000.0,0.41451636,Pre-Infall
246236,12848910000.0,11.381429,Pre-Infall
246238,4966676500.0,4.9466753,Pre-Infall
246241,2179645000.0,4.562066,Pre-Infall
246244,2079023400.0,3.4500608,Pre-Infall
246263,1722155100.0,11.261891,Pre-Infall
247350,16887311000.0,4.21607,Pre-Infall
247351,4909881300.0,6.7052445,Pre-Infall
247352,11985896000.0,2.879033,Pre-Infall
247356,2804091000.0,3.132315,Pre-Infall
247357,1000656600.0,2.1007986,Pre-Infall
248158,124433230000.0,2.451716,Pre-Infall
248159,24179590000.0,3.3999534,Pre-Infall
248160,38786890000.0,5.6332664,Pre-Infall
248161,18674860000.0,9.083567,Pre-Infall
248162,12846844000.0,16.338537,Pre-Infall
248164,15095436000.0,5.0173206,Pre-Infall
248166,1033145200.0,4.9138145,Pre-Infall
248174,1901732900.0,5.9173803,Pre-Infall
248176,1311378400.0,4.8845444,Pre-Infall
248180,5307388000.0,43.46302,Pre-Infall
249166,116402470000.0,1.2632036,Pre-Infall
249168,17248377000.0,5.922683,Pre-Infall
249169,68984300000.0,2.3505995,Pre-Infall
249170,13297534000.0,6.529797,Pre-Infall
249171,20206303000.0,15.08565,Pre-Infall
249173,2580434000.0,8.111693,Pre-Infall
250391,34053388000.0,7.9616256,Pre-Infall
250392,36975403000.0,1.1793975,Pre-Infall
250393,25161890000.0,0.30627403,Pre-Infall
250395,16831557000.0,9.063507,Pre-Infall
250396,9573513000.0,7.4810815,Pre-Infall
250400,5339262000.0,3.212379,Pre-Infall
250401,4708293000.0,4.41365,Pre-Infall
250402,2496888300.0,2.2460186,Pre-Infall
250410,1949263900.0,1.9884881,Pre-Infall
251300,33987930000.0,8.892902,Pre-Infall
251301,15689343000.0,3.894831,Pre-Infall
251302,63022154000.0,59.93045,Pre-Infall
251303,10378033000.0,15.388179,Pre-Infall
251304,29149164000.0,1.6187271,Pre-Infall
251308,8448957000.0,2.5873024,Pre-Infall
251312,1663988500.0,2.2516685,Pre-Infall
251314,1902589000.0,1.0223722,Pre-Infall
